,pts_ppr,rank_ppr,pos_rank_ppr,full_name
,0,724,17,Jason Myers
,0,2834,241,Raheem Mostert
,0,3590,613,DeAndre Carter
,0,1971,162,Daniel Brown
,0,640,116,Rasheed Bailey
,0,2954,263,Eric Tomlinson
,0,1931,18,Travis Raciti
,0,1078,137,James Vaughters
,0,4304,378,Gus Johnson
,0,1114,91,Efe Obada
,0,5334,933,DeAndrew White
,0,4760,48,Jacob Hagen
,0,4491,473,Jay Hughes
,0,700,1,Michael Palardy
,0,2651,55,Mike Meyer
,0,840,154,Jake Kumerow
,0,4190,736,Adam Humphries
,0,1031,111,Troy Hill
,0,2824,211,DeShawn Williams
,0,806,143,Kenny Cook
,0,3338,436,Justin March-Lillard
,0,2026,141,Justin Hamilton
,0,5039,521,Bryce Callahan
,0,3186,331,C.J. Goodwin
,0,2065,179,Zach Laskey
,0,425,37,Rodney Smith
,0,3773,494,Josh Watson
,0,1385,105,Brian Vogler
,0,648,117,Deshon Foxx
,0,4589,811,Des Lawrence
,0,4856,416,Matt LaCosse
,0,5181,452,Brandon Cottom
,0,590,68,Curtis Riley
,0,3743,403,Tevin Mitchel
,0,4910,366,Rakeem Nunez-Roches
,0,1386,89,Olsen Pierre
,0,5185,391,Lavon Hooks
,0,1669,2,Matt Wile
,0,560,8,Jermaine Whitehead
,0,4647,486,De'Vante Bausby
,0,2459,36,Damian Parms
,0,4854,415,Matt Lengel
,0,5264,398,David Irving
,0,2623,233,Ross Travis
,0,3153,275,Gannon Sinclair
,0,3279,284,Chris Manhertz
,0,459,40,Derrick Lott
,0,682,125,Jamel Johnson
,0,1034,106,Erik Harris
,0,3234,556,Anthony Dable
,0,1759,314,Xavier Rush
,0,864,158,Laquon Treadwell
,0,4626,616,Joey Bosa
,0,3776,649,William Fuller
,0,1849,187,Jalen Ramsey
,0,1605,65,Carson Wentz
,0,2697,109,Jared Goff
,0,3277,282,Ezekiel Elliott
,0,989,128,Myles Jack
,0,4461,591,Jaylon Smith
,0,3673,154,Paxton Lynch
,0,4265,316,DeForest Buckner
,0,2472,333,Leonard Floyd
,0,4572,606,Reggie Ragland
,0,1320,237,Corey Coleman
,0,3697,632,Josh Doctson
,0,3195,240,Robert Nkemdiche
,0,1196,149,Keanu Neal
,0,3245,244,Shaq Lawson
,0,2657,198,Vernon Butler
,0,929,102,William Jackson
,0,3048,231,Kenny Clark
,0,387,32,Sheldon Rankins
,0,3735,400,Eli Apple
,0,1395,182,Darron Lee
,0,346,39,Karl Joseph
,0,1677,200,Artie Burns
,0,303,29,Vernon Hargreaves
,0,3791,291,Noah Spence
,0,3366,259,Emmanuel Ogbah
,0,3634,315,Derrick Henry
,0,703,129,Michael Thomas
,0,974,176,Sterling Shepard
,0,1442,108,Austin Hooper
,0,905,85,C.J. Prosise
,0,3129,132,Cody Kessler
,0,1168,145,Joe Schobert
,0,1294,84,Andrew Billings
,0,4034,356,Kenneth Dixon
,0,4720,404,Devontae Booker
,0,5138,447,Paul Perkins
,0,3327,287,Hunter Henry
,0,3694,393,Xavien Howard
,0,2934,385,Kamalei Correa
,0,1803,136,Jihad Ward
,0,2463,180,A'Shawn Robinson
,0,3894,295,Jarran Reed
,0,4086,540,Deion Jones
,0,1930,195,Mackensie Alexander
,0,4634,824,Tyler Boyd
,0,4185,433,T.J. Green
,0,576,66,Sean Davis
,0,3562,379,Cyrus Jones
,0,399,47,Vonn Bell
,0,4765,496,James Bradberry
,0,2425,181,Adam Gotsis
,0,2222,249,Kevin Byard
,0,551,52,Carl Nassib
,0,188,17,Maliek Collins
,0,755,79,Will Redmond
,0,1241,102,Yannick Ngakoue
,0,4448,377,Bronson Kaufusi
,0,2478,275,Darian Thompson
,0,3372,261,Jonathan Bullard
,0,41,10,Kenyan Drake
,0,3704,392,KeiVarae Russell
,0,3043,401,Shilique Calhoun
,0,393,46,Daryl Worley
,0,5159,388,Jordan Jenkins
,0,3515,369,Kendall Fuller
,0,743,93,Nick Vigil
,0,4602,613,Kyler Fackrell
,0,2585,190,Javon Hargrave
,0,722,26,Jacoby Brissett
,0,2540,223,Nick Vannett
,0,2207,247,Justin Simmons
,0,3549,274,Sheldon Day
,0,2818,287,Tavon Young
,0,5316,549,Eric Murray
,0,4940,872,Chris Moore
,0,3500,456,B.J. Goodson
,0,4046,340,Tyler Higbee
,0,3997,413,Miles Killebrew
,0,4650,621,Nick Kwiatkoski
,0,1227,154,De'Vondre Campbell
,0,2645,196,Hassan Ridgeway
,0,4962,876,Pharoh Cooper
,0,3101,334,Juston Burris
,0,476,42,Tyler Ervin
,0,1293,83,David Onyemata
,0,5157,535,Deon Bush
,0,4419,779,Demarcus Robinson
,0,1572,210,Blake Martinez
,0,745,52,Willie Henry
,0,4378,462,Rashard Robinson
,0,5126,235,Dak Prescott
,0,410,35,Dean Lowry
,0,1537,119,Seth DeValve
,0,1632,291,Tajae Sharpe
,0,2383,176,Ronald Blair
,0,257,28,DeAndre Washington
,0,4514,603,Matthew Judon
,0,4952,368,Quinton Jefferson
,0,140,19,Jordan Howard
,0,595,46,Matt Ioannidis
,0,42,11,Wendell Smallwood
,0,3567,309,Jonathan Williams
,0,1781,184,LeShaun Sims
,0,4622,47,Kentrell Brothers
,0,5080,233,Kevin Hogan
,0,2570,434,Trevor Davis
,0,3817,657,Tyreek Hill
,0,4429,330,D.J. Reader
,0,5083,527,Marqui Christian
,0,2719,235,Alex Collins
,0,3527,601,Rashard Higgins
,0,666,85,Jatavis Brown
,0,889,14,Andy Janovich
,0,1638,127,Temarrick Hemingway
,0,1585,164,D.J. White
,0,1440,107,Moritz Bohringer
,0,2120,288,Devante Bond
,0,2652,236,Jerell Adams
,0,4563,474,DeAndre Houston-Carson
,0,5318,929,Jakeem Grant
